epoca;gen;ac;ap;nc;ng;areac;compg;largg;nr;mc;rgpla;icc;ngcap;mmg
E4;G204;63;71;9;62;0.273681147;0.374285472;0.205652309;0;0.3;0.2;0.666666667;6.888888889;3.225806452
E4;G205;59;81;55;164;0.237748483;0.366089254;0.201970529;4;0.99;0.56;0.565656566;2.981818182;3.414634146
E4;G206;53;73.5;38;189;0.284638323;0.384046362;0.21009236;2;1.03;0.64;0.621359223;4.973684211;3.386243386
E4;G207;65;78.8;17;71;0.282111945;0.419495356;0.212966351;0;0.51;0.3;0.588235294;4.176470588;4.225352113
E4;G208;54;62;12;49;0.245820585;0.398781005;0.20974122;0;0.28;0.16;0.571428571;4.083333333;3.265306122
E4;G209;59;63;12;35;0.226663937;0.374621475;0.214661967;0;0.2;0.09;0.45;2.916666667;2.571428571
E4;G210;60.8;67;10;35;0.246454398;0.44816519;0.235677073;0;0.26;0.18;0.692307692;3.5;5.142857143
E4;G211;53;63;19;79;0.254663034;0.380282378;0.202836976;0;0.43;0.28;0.651162791;4.157894737;3.544303797
E4;G212;57;64;14;69;0.254350764;0.386231379;0.211081399;0;0.36;0.23;0.638888889;4.928571429;3.333333333
E4;G213;53;60;9;38;0.284084625;0.399604356;0.208922977;0;0.22;0.1;0.454545455;4.222222222;2.631578947
E4;G214;55;59;6;35;0.267445884;0.410915717;0.211892325;0;0.17;0.11;0.647058824;5.833333333;3.142857143
E1;G215;48;69;34;233;0.403030443;0.466347593;0.248057412;3;1.97;1.59;0.807106599;6.852941176;6.824034335
E1;G216;50;79;50;279;0.317880211;0.479495201;0.2754142;2;2.53;1.78;0.703557312;5.58;6.379928315
E1;G218;46;76.5;36;161;0.322996091;0.496175001;0.268213915;2;1.36;0.85;0.625;4.472222222;5.279503106
E1;G219;51;85.5;17;121;0.468788254;0.537392858;0.274081712;3;0.93;0.71;0.76344086;7.117647059;5.867768595
E1;G222;54;86;53;416;0.482656706;0.535367957;0.281892913;3;3.47;2.65;0.763688761;7.849056604;6.370192308
E1;G223;61;105;37;288;0.414801404;0.464438408;0.250023056;1;1.76;1.24;0.704545455;7.783783784;4.305555556
E1;G224;50;86;31;246;0.412590657;0.495833931;0.261941492;1;1.63;1.2;0.736196319;7.935483871;4.87804878
E1;G225;41.5;84;19;153;0.407786648;0.475040731;0.274613795;2;1.18;0.89;0.754237288;8.052631579;5.816993464
E1;G226;55;89;41;250;0.392071318;0.47025023;0.251106301;2;1.69;1.22;0.721893491;6.097560976;4.88
E1;G228;44;86;125;992;0.479057124;0.465836057;0.26355181;3;7.06;5.44;0.770538244;7.936;5.483870968
E1;G229;51;85;13;105;0.390193237;0.476108883;0.244226921;1;0.68;0.42;0.617647059;8.076923077;4
E1;G230;42;74;63;339;0.389286755;0.485124431;0.289423206;4;2.63;1.74;0.661596958;5.380952381;5.132743363
E1;G232;40;78;36;256;0.35142738;0.468983686;0.251783101;3;1.75;1.4;0.8;7.111111111;5.46875
E1;G233;34;77;68;455;0.391460027;0.449153428;0.26033076;3;2.56;1.93;0.75390625;6.691176471;4.241758242
E1;G234;62;87;5;39;0.294337964;0.480398086;0.257478245;1;0.14;0.8;5.714285714;7.8;20.51282051
E1;G235;61;86;9;74;0.412821576;0.50280576;0.25924956;2;0.46;0.24;0.52173913;8.222222222;3.243243243
